    f         Sigma
8661181181.18 0.00094389
8696206206.21 0.00094965
8731231231.23 0.00095459
8766256256.26 0.00095869
8801281281.28 0.00096196
8836306306.31 0.00096439
8871331331.33 0.00096599
8906356356.36 0.00096675
8941381381.38 0.00096667
8976406406.41 0.00096577
9011431431.43 0.00096405
9046456456.46 0.00096152
9081481481.48 0.00095819
9116506506.51 0.00095406
9151531531.53 0.00094916
9186556556.56 0.00094349
9221581581.58 0.00093707
9256606606.61 0.00092992
9291631631.63 0.00092205
9326656656.66 0.00091350
9361681681.68 0.00090426
9396706706.71 0.00089438
9431731731.73 0.00088387
9466756756.76 0.00087275
9501781781.78 0.00086106
9536806806.81 0.00084881
9571831831.83 0.00083604
9606856856.86 0.00082278
9641881881.88 0.00080905
9676906906.91 0.00079489
9711931931.93 0.00078033
9746956956.96 0.00076539
9781981981.98 0.00075012
9817007007.01 0.00073455
9852032032.03 0.00071871
9887057057.06 0.00070264
9922082082.08 0.00068636
9957107107.11 0.00066993
9992132132.13 0.00065337
10027157157.16 0.00063672
10062182182.18 0.00062002
10097207207.21 0.00060331
10132232232.23 0.00058661
10167257257.26 0.00056997
10202282282.28 0.00055343
10237307307.31 0.00053701
10272332332.33 0.00052076
10307357357.36 0.00050471
10342382382.38 0.00048889
10377407407.41 0.00047334
10412432432.43 0.00045809
10447457457.46 0.00044318
10482482482.48 0.00042863
10517507507.51 0.00041448
10552532532.53 0.00040075
10587557557.56 0.00038748
10622582582.58 0.00037468
10657607607.61 0.00036239
10692632632.63 0.00035064
10727657657.66 0.00033943
10762682682.68 0.00032881
10797707707.71 0.00031877
10832732732.73 0.00030935
10867757757.76 0.00030057
10902782782.78 0.00029242
10937807807.81 0.00028494
10972832832.83 0.00027813
11007857857.86 0.00027200
11042882882.88 0.00026656
11077907907.91 0.00026182
11112932932.93 0.00025779
11147957957.96 0.00025446
11182982982.98 0.00025183
11218008008.01 0.00024992
11253033033.03 0.00024871
11288058058.06 0.00024820
11323083083.08 0.00024840
11358108108.11 0.00024928
11393133133.13 0.00025085
